관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/16(Sat),14:00,37540577,Actor R,Actor K,Actor A,Actor T,Actor P
11/26(Tue),14:00,27564181,Actor Y,Actor O,Actor X,Actor J,Actor F
12/10(Tue),19:00,30683146,Actor C,Actor R,Actor A,Actor O,Actor L
12/10(Tue),19:00,24569645,Actor E,Actor J,Actor R,Actor T,Actor K
11/24(Sun),14:00,16980599,Actor Z,Actor O,Actor T,Actor M,Actor K
12/08(Sun),19:00,35389018,Actor Q,Actor T,Actor B,Actor H,Actor U
12/04(Wed),19:00,4804559,Actor J,Actor M,Actor G,Actor C,Actor E
11/20(Wed),14:00,4992271,Actor O,Actor N,Actor U,Actor B,Actor Q
12/08(Sun),14:00,29417479,Actor S,Actor Y,Actor G,Actor K,Actor Z
11/19(Tue),14:00,42411613,Actor F,Actor R,Actor Y,Actor T,Actor H
12/10(Tue),14:00,7649677,Actor J,Actor W,Actor E,Actor A,Actor I
11/23(Sat),14:00,8618893,Actor N,Actor A,Actor D,Actor P,Actor J
12/10(Tue),14:00,2414445,Actor M,Actor Q,Actor S,Actor O,Actor V
11/27(Wed),19:00,4738129,Actor V,Actor O,Actor U,Actor B,Actor Z
11/26(Tue),19:00,19303193,Actor Y,Actor D,Actor E,Actor K,Actor U
11/27(Wed),19:00,37683302,Actor F,Actor T,Actor Z,Actor J,Actor S
12/07(Sat),14:00,28886199,Actor U,Actor Q,Actor O,Actor E,Actor J
11/27(Wed),14:00,27845123,Actor R,Actor A,Actor X,Actor N,Actor Z
12/02(Mon),19:00,37163130,Actor Y,Actor H,Actor L,Actor V,Actor K
12/09(Mon),19:00,10213809,Actor Q,Actor S,Actor B,Actor T,Actor M
