관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/20(Wed),19:00,74916442,Actor G,Actor Q,Actor L,Actor N,Actor X
11/29(Fri),19:00,33125105,Actor P,Actor M,Actor I,Actor X,Actor K
12/08(Sun),19:00,48978791,Actor Y,Actor B,Actor K,Actor T,Actor G
11/20(Wed),14:00,75960054,Actor V,Actor W,Actor G,Actor O,Actor N
12/04(Wed),19:00,43025574,Actor K,Actor Z,Actor O,Actor C,Actor F
12/07(Sat),14:00,83796605,Actor Q,Actor B,Actor F,Actor X,Actor M
12/06(Fri),14:00,83811949,Actor E,Actor N,Actor C,Actor F,Actor V
12/06(Fri),14:00,26860686,Actor F,Actor G,Actor C,Actor M,Actor A
12/12(Thu),14:00,54443517,Actor V,Actor U,Actor E,Actor Y,Actor F
11/20(Wed),14:00,43484738,Actor V,Actor S,Actor Q,Actor L,Actor I
12/04(Wed),19:00,22717595,Actor C,Actor V,Actor K,Actor O,Actor H
12/09(Mon),14:00,47287216,Actor M,Actor L,Actor K,Actor X,Actor H
12/15(Sun),19:00,63513264,Actor U,Actor T,Actor F,Actor D,Actor Q
12/15(Sun),19:00,46809316,Actor P,Actor X,Actor B,Actor L,Actor F
12/13(Fri),19:00,77327382,Actor F,Actor G,Actor N,Actor Z,Actor Y
12/10(Tue),19:00,27339574,Actor X,Actor M,Actor J,Actor N,Actor U
11/23(Sat),14:00,76003824,Actor Z,Actor C,Actor M,Actor L,Actor D
12/02(Mon),14:00,46391555,Actor Z,Actor M,Actor G,Actor L,Actor W
12/06(Fri),19:00,47596568,Actor P,Actor W,Actor J,Actor D,Actor X
11/20(Wed),14:00,34236227,Actor B,Actor X,Actor E,Actor G,Actor L
