관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/27(Wed),19:00,38049121,Actor E,Actor Y,Actor J,Actor M,Actor O
12/09(Mon),14:00,29141948,Actor G,Actor T,Actor D,Actor F,Actor K
11/29(Fri),19:00,57083031,Actor O,Actor Q,Actor N,Actor L,Actor A
11/16(Sat),14:00,38256022,Actor Z,Actor L,Actor W,Actor C,Actor B
11/21(Thu),14:00,50638397,Actor O,Actor D,Actor N,Actor Q,Actor X
12/15(Sun),14:00,10154355,Actor X,Actor N,Actor J,Actor R,Actor E
12/07(Sat),14:00,10088777,Actor T,Actor W,Actor K,Actor H,Actor A
12/07(Sat),14:00,9602694,Actor R,Actor X,Actor C,Actor T,Actor W
11/17(Sun),19:00,4210646,Actor Q,Actor V,Actor H,Actor L,Actor I
11/21(Thu),19:00,44285436,Actor B,Actor Q,Actor U,Actor A,Actor Z
12/02(Mon),19:00,58335590,Actor M,Actor K,Actor T,Actor U,Actor Q
12/08(Sun),14:00,41252524,Actor V,Actor T,Actor Z,Actor B,Actor D
12/03(Tue),19:00,6258709,Actor S,Actor P,Actor Q,Actor B,Actor Z
11/20(Wed),19:00,14312294,Actor D,Actor R,Actor B,Actor S,Actor W
11/16(Sat),14:00,5545528,Actor G,Actor C,Actor J,Actor O,Actor E
12/01(Sun),14:00,36351689,Actor X,Actor O,Actor H,Actor J,Actor Y
11/23(Sat),19:00,27141754,Actor H,Actor Y,Actor I,Actor W,Actor Q
12/12(Thu),14:00,18174154,Actor O,Actor H,Actor G,Actor Q,Actor T
12/06(Fri),14:00,37796849,Actor O,Actor P,Actor N,Actor I,Actor F
12/14(Sat),14:00,54460977,Actor K,Actor G,Actor O,Actor Y,Actor T
