관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/20(Wed),19:00,14501763,Actor C,Actor S,Actor U,Actor P,Actor I
11/21(Thu),14:00,45698606,Actor E,Actor D,Actor A,Actor G,Actor Q
11/30(Sat),14:00,11817873,Actor M,Actor U,Actor K,Actor H,Actor T
11/21(Thu),19:00,3476336,Actor X,Actor C,Actor P,Actor G,Actor D
12/08(Sun),14:00,46403137,Actor I,Actor R,Actor V,Actor G,Actor H
12/14(Sat),14:00,33917284,Actor C,Actor D,Actor K,Actor A,Actor N
11/16(Sat),19:00,19855154,Actor L,Actor H,Actor P,Actor I,Actor Y
12/02(Mon),14:00,44111626,Actor Q,Actor D,Actor W,Actor J,Actor T
11/18(Mon),19:00,7165864,Actor Z,Actor Y,Actor S,Actor G,Actor M
11/22(Fri),19:00,43578780,Actor T,Actor I,Actor J,Actor D,Actor E
12/12(Thu),14:00,48991688,Actor V,Actor P,Actor T,Actor E,Actor R
11/24(Sun),19:00,48906555,Actor F,Actor R,Actor P,Actor V,Actor D
12/01(Sun),14:00,47553861,Actor E,Actor T,Actor N,Actor G,Actor Z
12/13(Fri),14:00,35476608,Actor B,Actor D,Actor K,Actor R,Actor I
12/06(Fri),19:00,43501487,Actor N,Actor S,Actor O,Actor G,Actor F
12/05(Thu),19:00,50118625,Actor F,Actor A,Actor Q,Actor B,Actor C
11/25(Mon),19:00,13599625,Actor Z,Actor O,Actor Y,Actor K,Actor L
12/11(Wed),19:00,4715281,Actor A,Actor O,Actor Q,Actor C,Actor I
12/09(Mon),19:00,17894443,Actor M,Actor F,Actor T,Actor O,Actor X
12/09(Mon),14:00,16138455,Actor A,Actor O,Actor U,Actor F,Actor L
