관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/11(Wed),19:00,40196402,Actor J,Actor M,Actor N,Actor S,Actor Y
12/15(Sun),14:00,21882753,Actor M,Actor F,Actor D,Actor J,Actor A
11/25(Mon),19:00,7130785,Actor H,Actor C,Actor D,Actor V,Actor T
11/20(Wed),14:00,16342432,Actor G,Actor U,Actor B,Actor K,Actor S
11/27(Wed),19:00,10749498,Actor Z,Actor A,Actor F,Actor D,Actor R
11/29(Fri),19:00,6657605,Actor E,Actor L,Actor V,Actor P,Actor R
11/30(Sat),19:00,12436684,Actor L,Actor W,Actor J,Actor Z,Actor X
11/24(Sun),19:00,45476431,Actor A,Actor U,Actor P,Actor S,Actor M
12/14(Sat),19:00,12421627,Actor L,Actor Y,Actor K,Actor A,Actor G
11/16(Sat),14:00,7110122,Actor X,Actor P,Actor H,Actor I,Actor L
11/24(Sun),14:00,24511269,Actor F,Actor J,Actor O,Actor R,Actor K
12/07(Sat),19:00,16145897,Actor T,Actor H,Actor C,Actor R,Actor X
11/18(Mon),14:00,20105465,Actor U,Actor E,Actor P,Actor J,Actor N
12/05(Thu),19:00,17607130,Actor A,Actor T,Actor U,Actor K,Actor R
12/12(Thu),19:00,11638941,Actor J,Actor Q,Actor E,Actor N,Actor G
11/17(Sun),19:00,34105123,Actor F,Actor X,Actor G,Actor E,Actor J
12/04(Wed),14:00,26330124,Actor A,Actor N,Actor W,Actor D,Actor B
11/22(Fri),19:00,17682215,Actor F,Actor Z,Actor D,Actor X,Actor A
11/30(Sat),14:00,18245328,Actor R,Actor G,Actor K,Actor J,Actor U
12/08(Sun),14:00,45232799,Actor Q,Actor Z,Actor M,Actor U,Actor D
