관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/14(Sat),19:00,35197006,Actor W,Actor L,Actor Z,Actor S,Actor H
11/22(Fri),14:00,29074758,Actor A,Actor T,Actor S,Actor J,Actor O
12/02(Mon),14:00,18945746,Actor U,Actor F,Actor Y,Actor T,Actor O
12/12(Thu),19:00,24242986,Actor Q,Actor Y,Actor H,Actor A,Actor S
12/10(Tue),19:00,20463160,Actor R,Actor J,Actor D,Actor X,Actor P
12/09(Mon),14:00,10980910,Actor O,Actor F,Actor H,Actor G,Actor C
12/14(Sat),14:00,9696094,Actor T,Actor R,Actor J,Actor O,Actor H
12/13(Fri),19:00,36289868,Actor V,Actor O,Actor U,Actor S,Actor R
11/16(Sat),14:00,19825978,Actor P,Actor V,Actor T,Actor X,Actor A
12/10(Tue),14:00,31673255,Actor A,Actor L,Actor E,Actor U,Actor T
11/27(Wed),14:00,719241,Actor D,Actor F,Actor S,Actor B,Actor K
12/05(Thu),14:00,37181992,Actor U,Actor V,Actor N,Actor P,Actor J
11/29(Fri),19:00,14386381,Actor A,Actor Z,Actor K,Actor V,Actor Y
11/17(Sun),14:00,21548940,Actor X,Actor K,Actor L,Actor C,Actor W
11/19(Tue),14:00,10877607,Actor L,Actor P,Actor R,Actor F,Actor Y
11/28(Thu),19:00,6381621,Actor D,Actor C,Actor T,Actor I,Actor L
11/30(Sat),14:00,21713662,Actor I,Actor V,Actor O,Actor C,Actor Y
11/30(Sat),14:00,31159608,Actor Z,Actor F,Actor C,Actor B,Actor P
11/23(Sat),14:00,10282395,Actor A,Actor Q,Actor V,Actor F,Actor Z
12/04(Wed),14:00,38154587,Actor Q,Actor C,Actor S,Actor N,Actor T
