관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/19(Tue),19:00,17863593,Actor H,Actor S,Actor R,Actor T,Actor L
11/26(Tue),19:00,12109809,Actor C,Actor A,Actor I,Actor T,Actor U
11/25(Mon),19:00,6974491,Actor L,Actor Y,Actor V,Actor U,Actor M
12/03(Tue),14:00,26750286,Actor V,Actor I,Actor X,Actor Y,Actor W
11/30(Sat),14:00,26610059,Actor X,Actor G,Actor H,Actor P,Actor L
11/29(Fri),19:00,26056893,Actor Q,Actor L,Actor H,Actor R,Actor W
12/01(Sun),14:00,1156419,Actor N,Actor P,Actor T,Actor Q,Actor I
12/08(Sun),19:00,25969390,Actor D,Actor S,Actor L,Actor F,Actor T
11/24(Sun),14:00,3945084,Actor U,Actor X,Actor J,Actor T,Actor Y
12/03(Tue),19:00,10264060,Actor A,Actor M,Actor I,Actor T,Actor Z
11/29(Fri),19:00,23743090,Actor G,Actor E,Actor M,Actor J,Actor F
12/07(Sat),14:00,26640395,Actor V,Actor H,Actor G,Actor L,Actor Y
12/06(Fri),14:00,7691840,Actor D,Actor S,Actor C,Actor N,Actor Z
12/06(Fri),14:00,15153767,Actor J,Actor C,Actor W,Actor G,Actor A
12/01(Sun),19:00,16898561,Actor Z,Actor X,Actor I,Actor Q,Actor M
12/02(Mon),19:00,17166784,Actor F,Actor G,Actor L,Actor K,Actor W
11/28(Thu),14:00,8228607,Actor Z,Actor M,Actor X,Actor P,Actor Q
12/05(Thu),14:00,20455620,Actor N,Actor O,Actor G,Actor Q,Actor K
11/30(Sat),14:00,22000280,Actor K,Actor T,Actor Y,Actor H,Actor J
12/09(Mon),19:00,16048329,Actor R,Actor W,Actor H,Actor I,Actor A
