관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/21(Thu),19:00,34859749,Actor A,Actor R,Actor K,Actor X,Actor U
12/15(Sun),19:00,4024202,Actor I,Actor R,Actor F,Actor N,Actor V
12/10(Tue),19:00,12182918,Actor H,Actor Z,Actor E,Actor D,Actor T
11/29(Fri),14:00,9049752,Actor N,Actor R,Actor U,Actor P,Actor W
12/03(Tue),19:00,29546550,Actor C,Actor P,Actor Y,Actor Q,Actor Z
11/25(Mon),19:00,9248078,Actor Y,Actor N,Actor X,Actor O,Actor L
12/09(Mon),19:00,16168544,Actor P,Actor D,Actor Q,Actor N,Actor O
12/07(Sat),14:00,21847159,Actor C,Actor A,Actor L,Actor K,Actor J
11/26(Tue),19:00,41918141,Actor W,Actor A,Actor Y,Actor R,Actor X
11/17(Sun),19:00,41786076,Actor K,Actor O,Actor F,Actor V,Actor P
12/14(Sat),14:00,3989528,Actor K,Actor W,Actor E,Actor R,Actor O
11/23(Sat),19:00,16322893,Actor J,Actor K,Actor X,Actor I,Actor C
12/15(Sun),14:00,38259494,Actor S,Actor F,Actor X,Actor B,Actor O
12/14(Sat),14:00,7189824,Actor U,Actor H,Actor D,Actor B,Actor L
12/08(Sun),14:00,42871524,Actor X,Actor O,Actor H,Actor W,Actor V
12/14(Sat),14:00,33281198,Actor X,Actor B,Actor H,Actor Q,Actor Z
12/09(Mon),14:00,7322674,Actor Y,Actor T,Actor N,Actor F,Actor H
12/06(Fri),14:00,22682108,Actor X,Actor C,Actor A,Actor D,Actor B
11/30(Sat),19:00,13063828,Actor B,Actor X,Actor T,Actor A,Actor L
12/14(Sat),19:00,16115497,Actor E,Actor L,Actor H,Actor B,Actor S
