관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/25(Mon),14:00,7377482,Actor Q,Actor R,Actor S,Actor Z,Actor K
11/16(Sat),19:00,13966262,Actor L,Actor F,Actor S,Actor Y,Actor Q
12/06(Fri),19:00,42455658,Actor O,Actor B,Actor S,Actor G,Actor F
11/23(Sat),19:00,22701263,Actor U,Actor R,Actor G,Actor V,Actor A
12/02(Mon),14:00,21319875,Actor V,Actor W,Actor B,Actor N,Actor M
11/27(Wed),14:00,30223792,Actor M,Actor F,Actor K,Actor U,Actor W
11/21(Thu),14:00,25099179,Actor I,Actor K,Actor R,Actor N,Actor C
11/20(Wed),19:00,11869749,Actor X,Actor T,Actor U,Actor C,Actor Q
12/07(Sat),14:00,19702210,Actor Z,Actor Q,Actor Y,Actor U,Actor B
11/19(Tue),14:00,14761311,Actor K,Actor J,Actor F,Actor V,Actor M
11/21(Thu),19:00,17433032,Actor Y,Actor O,Actor H,Actor A,Actor L
11/18(Mon),19:00,11996856,Actor F,Actor J,Actor O,Actor E,Actor W
12/15(Sun),19:00,23038319,Actor S,Actor E,Actor Y,Actor T,Actor Z
11/19(Tue),19:00,21388953,Actor D,Actor Y,Actor X,Actor M,Actor O
11/21(Thu),14:00,14195630,Actor G,Actor W,Actor Z,Actor P,Actor I
12/08(Sun),14:00,29050945,Actor H,Actor S,Actor B,Actor R,Actor O
12/10(Tue),19:00,44872262,Actor E,Actor Q,Actor T,Actor V,Actor X
11/27(Wed),14:00,30096108,Actor X,Actor V,Actor I,Actor M,Actor Z
11/30(Sat),19:00,30433547,Actor T,Actor I,Actor G,Actor S,Actor Y
11/20(Wed),14:00,4437412,Actor P,Actor V,Actor W,Actor K,Actor N
