관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/10(Tue),14:00,16783260,Actor D,Actor F,Actor Y,Actor M,Actor P
12/02(Mon),14:00,19504544,Actor T,Actor I,Actor D,Actor R,Actor M
11/16(Sat),14:00,1984486,Actor S,Actor V,Actor C,Actor J,Actor R
11/23(Sat),14:00,5202070,Actor W,Actor H,Actor U,Actor X,Actor M
11/26(Tue),14:00,2448980,Actor V,Actor E,Actor C,Actor T,Actor K
12/08(Sun),19:00,6228918,Actor Q,Actor S,Actor E,Actor P,Actor X
12/01(Sun),19:00,11023697,Actor O,Actor G,Actor V,Actor B,Actor P
12/01(Sun),14:00,7288172,Actor M,Actor R,Actor H,Actor D,Actor G
12/02(Mon),19:00,1423320,Actor Z,Actor J,Actor F,Actor E,Actor T
12/13(Fri),14:00,1498524,Actor T,Actor L,Actor D,Actor M,Actor S
11/18(Mon),14:00,12844539,Actor O,Actor S,Actor L,Actor T,Actor P
12/11(Wed),14:00,25876621,Actor V,Actor D,Actor U,Actor W,Actor T
11/18(Mon),14:00,17228393,Actor Q,Actor R,Actor T,Actor C,Actor O
12/04(Wed),14:00,15304978,Actor H,Actor J,Actor G,Actor W,Actor R
12/08(Sun),14:00,1718193,Actor V,Actor G,Actor W,Actor L,Actor N
12/15(Sun),14:00,19043689,Actor I,Actor R,Actor C,Actor F,Actor Y
11/22(Fri),14:00,10428344,Actor P,Actor B,Actor E,Actor A,Actor F
12/10(Tue),14:00,16887134,Actor Q,Actor X,Actor N,Actor R,Actor W
11/30(Sat),19:00,6692138,Actor T,Actor G,Actor J,Actor V,Actor W
12/12(Thu),14:00,24098351,Actor T,Actor L,Actor X,Actor Y,Actor K
