관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/13(Fri),19:00,10164632,Actor Q,Actor R,Actor K,Actor P,Actor W
11/22(Fri),14:00,19905361,Actor B,Actor Y,Actor X,Actor L,Actor R
12/12(Thu),14:00,40294642,Actor S,Actor P,Actor N,Actor D,Actor Z
12/11(Wed),19:00,34158267,Actor R,Actor O,Actor Y,Actor L,Actor W
12/02(Mon),14:00,39497808,Actor K,Actor F,Actor R,Actor Y,Actor L
11/24(Sun),19:00,13488919,Actor C,Actor J,Actor G,Actor K,Actor X
12/09(Mon),19:00,23005047,Actor Y,Actor R,Actor C,Actor A,Actor S
11/22(Fri),14:00,6880632,Actor P,Actor R,Actor V,Actor O,Actor E
11/25(Mon),19:00,34215124,Actor K,Actor O,Actor I,Actor U,Actor P
12/07(Sat),19:00,27869520,Actor Z,Actor O,Actor G,Actor H,Actor L
11/21(Thu),14:00,19218977,Actor P,Actor R,Actor G,Actor O,Actor C
12/15(Sun),19:00,24232849,Actor H,Actor R,Actor W,Actor A,Actor B
11/28(Thu),19:00,20107084,Actor A,Actor J,Actor B,Actor Q,Actor O
12/05(Thu),14:00,13860950,Actor Z,Actor C,Actor R,Actor A,Actor D
11/21(Thu),19:00,33274692,Actor S,Actor T,Actor H,Actor W,Actor P
12/11(Wed),14:00,41453156,Actor I,Actor M,Actor T,Actor W,Actor U
11/17(Sun),19:00,40185289,Actor L,Actor V,Actor A,Actor C,Actor K
12/14(Sat),14:00,12982193,Actor C,Actor P,Actor Y,Actor B,Actor L
11/25(Mon),14:00,19063869,Actor S,Actor I,Actor X,Actor E,Actor O
12/14(Sat),19:00,28691993,Actor Z,Actor U,Actor Y,Actor N,Actor X
