관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/08(Sun),19:00,3758766,Actor M,Actor J,Actor V,Actor A,Actor G
11/22(Fri),19:00,46987802,Actor E,Actor Z,Actor N,Actor I,Actor B
11/27(Wed),19:00,38488899,Actor D,Actor U,Actor X,Actor K,Actor T
12/01(Sun),14:00,43633976,Actor B,Actor S,Actor G,Actor V,Actor I
11/27(Wed),19:00,5742466,Actor C,Actor G,Actor N,Actor H,Actor K
11/30(Sat),19:00,34191868,Actor T,Actor W,Actor R,Actor J,Actor M
12/15(Sun),14:00,18034596,Actor B,Actor U,Actor L,Actor F,Actor Q
12/11(Wed),19:00,18190386,Actor N,Actor T,Actor J,Actor W,Actor O
11/28(Thu),14:00,18391610,Actor L,Actor W,Actor P,Actor V,Actor R
11/28(Thu),19:00,40456096,Actor S,Actor B,Actor J,Actor G,Actor N
12/03(Tue),14:00,5370246,Actor G,Actor R,Actor T,Actor L,Actor O
11/19(Tue),14:00,5824222,Actor F,Actor V,Actor M,Actor X,Actor E
11/19(Tue),14:00,5652434,Actor U,Actor S,Actor J,Actor L,Actor Q
11/21(Thu),19:00,48198988,Actor P,Actor E,Actor C,Actor N,Actor M
12/09(Mon),14:00,84187,Actor M,Actor F,Actor H,Actor C,Actor S
12/01(Sun),19:00,13582651,Actor P,Actor H,Actor R,Actor L,Actor Y
12/06(Fri),19:00,10568364,Actor I,Actor T,Actor A,Actor V,Actor H
12/12(Thu),19:00,41184267,Actor B,Actor W,Actor K,Actor N,Actor A
12/02(Mon),19:00,43926836,Actor B,Actor J,Actor X,Actor A,Actor T
12/08(Sun),19:00,1237715,Actor H,Actor Y,Actor J,Actor S,Actor K
