관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/28(Thu),19:00,15193532,Actor L,Actor M,Actor B,Actor D,Actor G
12/13(Fri),14:00,44031519,Actor J,Actor E,Actor Q,Actor F,Actor M
12/13(Fri),14:00,23736325,Actor H,Actor R,Actor F,Actor Y,Actor L
11/30(Sat),14:00,5284565,Actor M,Actor N,Actor S,Actor D,Actor I
12/12(Thu),19:00,44034733,Actor D,Actor N,Actor J,Actor R,Actor S
12/05(Thu),19:00,7621088,Actor K,Actor J,Actor E,Actor T,Actor Z
11/23(Sat),14:00,10234307,Actor H,Actor V,Actor K,Actor G,Actor A
12/09(Mon),19:00,43504204,Actor E,Actor N,Actor V,Actor W,Actor M
12/13(Fri),19:00,27909965,Actor Q,Actor X,Actor O,Actor G,Actor M
12/14(Sat),14:00,46293096,Actor V,Actor K,Actor H,Actor X,Actor D
12/09(Mon),14:00,12353291,Actor L,Actor C,Actor H,Actor U,Actor A
12/01(Sun),14:00,13056069,Actor R,Actor E,Actor N,Actor J,Actor B
12/07(Sat),14:00,46903813,Actor B,Actor Q,Actor I,Actor X,Actor Y
11/26(Tue),14:00,35600929,Actor I,Actor H,Actor R,Actor T,Actor P
12/05(Thu),14:00,43352284,Actor P,Actor R,Actor K,Actor L,Actor M
11/17(Sun),14:00,40867820,Actor S,Actor R,Actor X,Actor J,Actor I
11/28(Thu),14:00,41943337,Actor T,Actor F,Actor Z,Actor E,Actor J
12/12(Thu),14:00,42204594,Actor K,Actor I,Actor M,Actor D,Actor R
12/14(Sat),19:00,42380924,Actor E,Actor C,Actor O,Actor X,Actor V
12/10(Tue),19:00,23380139,Actor H,Actor K,Actor C,Actor G,Actor D
