관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/20(Wed),14:00,832992,Actor G,Actor R,Actor Q,Actor J,Actor S
12/15(Sun),14:00,7007239,Actor N,Actor Z,Actor I,Actor Y,Actor G
11/20(Wed),14:00,364848,Actor M,Actor I,Actor S,Actor J,Actor G
11/26(Tue),14:00,12330325,Actor E,Actor G,Actor D,Actor I,Actor J
12/11(Wed),14:00,7210419,Actor O,Actor W,Actor B,Actor M,Actor G
12/14(Sat),19:00,22603587,Actor I,Actor X,Actor M,Actor F,Actor K
11/21(Thu),19:00,12531072,Actor E,Actor T,Actor C,Actor W,Actor Y
11/16(Sat),19:00,27330956,Actor B,Actor R,Actor C,Actor T,Actor E
12/07(Sat),14:00,23867423,Actor V,Actor G,Actor C,Actor I,Actor F
11/26(Tue),19:00,6785664,Actor Q,Actor D,Actor B,Actor C,Actor X
11/17(Sun),19:00,6325512,Actor O,Actor R,Actor Q,Actor A,Actor B
11/18(Mon),19:00,12255776,Actor P,Actor F,Actor D,Actor V,Actor R
12/13(Fri),19:00,22934047,Actor D,Actor I,Actor C,Actor H,Actor N
12/09(Mon),14:00,1066137,Actor L,Actor N,Actor O,Actor T,Actor P
11/23(Sat),14:00,24702088,Actor W,Actor G,Actor H,Actor I,Actor E
12/10(Tue),19:00,14699525,Actor A,Actor N,Actor M,Actor F,Actor J
11/23(Sat),14:00,20834422,Actor T,Actor Z,Actor V,Actor X,Actor A
12/09(Mon),19:00,18564710,Actor H,Actor T,Actor D,Actor J,Actor K
11/25(Mon),14:00,19960812,Actor Y,Actor P,Actor S,Actor G,Actor Q
12/09(Mon),14:00,13958165,Actor P,Actor W,Actor E,Actor R,Actor S
