관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/14(Sat),19:00,43390400,Actor E,Actor P,Actor T,Actor H,Actor R
12/01(Sun),14:00,10092401,Actor Z,Actor B,Actor T,Actor G,Actor V
12/08(Sun),19:00,27504530,Actor S,Actor Z,Actor B,Actor D,Actor R
11/26(Tue),19:00,39283412,Actor M,Actor D,Actor K,Actor Q,Actor C
12/04(Wed),14:00,2771432,Actor M,Actor U,Actor B,Actor Y,Actor X
12/13(Fri),19:00,7450038,Actor X,Actor K,Actor J,Actor P,Actor C
12/02(Mon),19:00,4299741,Actor G,Actor B,Actor E,Actor N,Actor Q
12/13(Fri),19:00,8493428,Actor O,Actor Y,Actor F,Actor W,Actor U
11/30(Sat),14:00,4463244,Actor K,Actor Z,Actor H,Actor J,Actor X
11/29(Fri),19:00,41123388,Actor A,Actor E,Actor C,Actor T,Actor S
12/11(Wed),14:00,11677170,Actor Q,Actor B,Actor E,Actor F,Actor U
12/02(Mon),14:00,2669228,Actor Z,Actor G,Actor E,Actor J,Actor H
12/07(Sat),19:00,8393831,Actor Q,Actor W,Actor Z,Actor A,Actor O
12/10(Tue),14:00,38262807,Actor P,Actor V,Actor D,Actor L,Actor H
12/07(Sat),19:00,2687718,Actor L,Actor I,Actor X,Actor J,Actor E
12/01(Sun),14:00,37865171,Actor P,Actor M,Actor Q,Actor K,Actor U
12/11(Wed),14:00,50040827,Actor U,Actor E,Actor H,Actor Y,Actor W
12/08(Sun),14:00,28925846,Actor T,Actor I,Actor U,Actor V,Actor B
12/14(Sat),19:00,13728348,Actor F,Actor K,Actor P,Actor B,Actor M
11/23(Sat),19:00,53023513,Actor R,Actor D,Actor S,Actor I,Actor Q
