관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/21(Thu),14:00,17416239,Actor I,Actor O,Actor T,Actor K,Actor V
12/11(Wed),19:00,22588279,Actor Z,Actor F,Actor B,Actor A,Actor W
12/05(Thu),14:00,16349802,Actor B,Actor N,Actor L,Actor T,Actor I
12/07(Sat),14:00,32243394,Actor M,Actor X,Actor S,Actor D,Actor J
11/30(Sat),14:00,32501252,Actor H,Actor C,Actor X,Actor F,Actor U
12/02(Mon),19:00,3864651,Actor W,Actor N,Actor Y,Actor X,Actor H
11/22(Fri),19:00,799967,Actor J,Actor W,Actor R,Actor H,Actor B
12/13(Fri),14:00,39621289,Actor R,Actor Z,Actor X,Actor N,Actor I
11/23(Sat),14:00,17163186,Actor O,Actor I,Actor N,Actor F,Actor E
12/02(Mon),14:00,9446887,Actor R,Actor X,Actor C,Actor K,Actor Q
11/18(Mon),19:00,41834302,Actor E,Actor U,Actor Y,Actor L,Actor C
11/18(Mon),14:00,37201532,Actor J,Actor W,Actor V,Actor F,Actor P
12/12(Thu),14:00,14163024,Actor N,Actor R,Actor D,Actor Y,Actor H
12/03(Tue),14:00,11198136,Actor O,Actor V,Actor M,Actor K,Actor X
12/05(Thu),19:00,20248102,Actor Y,Actor S,Actor O,Actor T,Actor R
11/30(Sat),19:00,10213289,Actor D,Actor N,Actor A,Actor J,Actor F
11/25(Mon),14:00,8932383,Actor E,Actor N,Actor A,Actor G,Actor M
11/26(Tue),19:00,32703618,Actor D,Actor Q,Actor J,Actor W,Actor Z
12/05(Thu),14:00,21717299,Actor N,Actor E,Actor I,Actor L,Actor C
11/19(Tue),14:00,46134856,Actor H,Actor Y,Actor C,Actor V,Actor I
