관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/25(Mon),19:00,53073280,Actor D,Actor W,Actor B,Actor U,Actor G
11/28(Thu),19:00,13432625,Actor O,Actor D,Actor U,Actor Y,Actor G
11/17(Sun),19:00,69767580,Actor Q,Actor N,Actor B,Actor Y,Actor D
12/08(Sun),19:00,19602460,Actor A,Actor Z,Actor F,Actor K,Actor L
12/09(Mon),14:00,20472123,Actor V,Actor I,Actor F,Actor S,Actor N
11/18(Mon),14:00,56451543,Actor M,Actor T,Actor J,Actor A,Actor E
12/15(Sun),19:00,17505610,Actor Y,Actor U,Actor H,Actor K,Actor J
11/16(Sat),14:00,64280115,Actor G,Actor R,Actor M,Actor Y,Actor A
12/08(Sun),14:00,26227833,Actor Z,Actor S,Actor U,Actor H,Actor P
11/23(Sat),19:00,79666582,Actor E,Actor J,Actor X,Actor T,Actor W
11/22(Fri),14:00,63402885,Actor O,Actor I,Actor Z,Actor L,Actor H
11/26(Tue),19:00,64856335,Actor H,Actor M,Actor J,Actor D,Actor S
12/12(Thu),14:00,9797430,Actor M,Actor E,Actor X,Actor B,Actor D
11/21(Thu),19:00,41071663,Actor D,Actor C,Actor T,Actor A,Actor L
12/01(Sun),14:00,53514756,Actor P,Actor J,Actor N,Actor H,Actor V
12/12(Thu),19:00,8339116,Actor A,Actor R,Actor T,Actor U,Actor Y
12/13(Fri),19:00,57041237,Actor O,Actor G,Actor J,Actor T,Actor P
12/11(Wed),14:00,25423378,Actor L,Actor T,Actor V,Actor Z,Actor W
12/10(Tue),19:00,44978402,Actor I,Actor E,Actor Y,Actor P,Actor V
11/23(Sat),14:00,54455000,Actor P,Actor X,Actor S,Actor A,Actor L
