관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
11/25(Mon),14:00,61351775,Actor G,Actor H,Actor A,Actor L,Actor F
12/01(Sun),19:00,40484225,Actor Q,Actor H,Actor R,Actor O,Actor S
11/28(Thu),19:00,10366134,Actor P,Actor J,Actor X,Actor D,Actor Y
12/13(Fri),14:00,74105236,Actor I,Actor V,Actor A,Actor N,Actor G
12/15(Sun),14:00,39557223,Actor F,Actor W,Actor M,Actor N,Actor O
12/04(Wed),19:00,41471568,Actor Q,Actor U,Actor R,Actor V,Actor O
11/28(Thu),19:00,97227991,Actor Y,Actor R,Actor Q,Actor B,Actor I
11/20(Wed),14:00,26810564,Actor W,Actor S,Actor J,Actor E,Actor T
12/08(Sun),19:00,21072776,Actor A,Actor Q,Actor E,Actor J,Actor D
12/01(Sun),19:00,76241724,Actor J,Actor S,Actor W,Actor E,Actor R
12/04(Wed),19:00,39533062,Actor O,Actor H,Actor S,Actor D,Actor E
11/18(Mon),14:00,14310563,Actor P,Actor G,Actor R,Actor O,Actor C
11/21(Thu),14:00,73948061,Actor C,Actor Y,Actor M,Actor B,Actor I
12/08(Sun),14:00,78400098,Actor M,Actor I,Actor L,Actor H,Actor S
12/09(Mon),14:00,21566673,Actor Y,Actor R,Actor Z,Actor W,Actor K
11/21(Thu),14:00,29967244,Actor U,Actor P,Actor X,Actor N,Actor O
12/06(Fri),14:00,99835453,Actor S,Actor A,Actor P,Actor Y,Actor H
11/17(Sun),14:00,62711094,Actor F,Actor D,Actor O,Actor C,Actor K
11/25(Mon),14:00,40518984,Actor G,Actor X,Actor Z,Actor O,Actor Y
11/24(Sun),19:00,43256756,Actor F,Actor X,Actor Y,Actor N,Actor M
